code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,
201758,도신-지존천하 : 네이버 영화,,15세 관람가, 2021.10.25,,,,초능력을 가진 도박 고수 대군은 홍콩에서 도박 협객에게 패한 후 대륙으로 도망친다. 그 과정에서 대군은 초능력을 잃고 원수에게 쫓기다가 큰 도박장을 소유한 사천화에게 구출되어 사천화의 의형제가 된다. 대군은 그 은혜를 갚기 위해 사천화의 아들 사택에게 자신의 능력을 전부 전수해 줄 것을 약속한다. 한편 유호산은 도박장에서 사택에게 돈을 다 잃고 총을 꺼냈다가 손이 잘리지만 대군은 치료비 10만 불과 함께 유호산을 보내준다. 그러나 사택이 보낸 부하들에 의해 죽임을 당하고 땅에 묻힌다. 후에 그 사실을 알게 된 유호산의 누나 유청아는 동생의 복수를 하기 위해 나서는데…,,,,,,,,,,,,,
192614,돈 룩 업 : 네이버 영화,코미디,15세 관람가, 2021.12.08,8.65,3,,,,,,,,,,,,,,,
201818,동백 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
191559,듄 : 네이버 영화,모험,,,,,,,,,,,,,,,,,,,
205623,드라이브 마이 카 : 네이버 영화,드라마,15세 관람가, 2021.12.23,8.42,909,니시지마 히데토시,,,,,,,,,,,,,,
206778,드라큘라 2021 : 네이버 영화,공포,, 2021.08.05,,,제라르도 로마노,세실리아와 마르틴 모자는 교통사고를 당했다. <br/>사고 발생 사흘째,,,,,,,,,,,,,
201743,드래곤 솔져 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
196466,드림 스캐너 : 네이버 영화,SF,,,,,,,,,,,,,,,,,,,
200179,드림빌더 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
201560,디 아더 사이드 : 네이버 영화,공포,12세 관람가, 2021.03.25,,,딜란 그윈,,,,,,,,,,,,,,
100152,디노소어 어드벤쳐 : 네이버 영화,모험,,,,,,,,,,,,,,,,,,,
